class,noise_type,filter,psnr,ssim
without_mask,gaussian,mean,30.761278869974717,0.7220985616103232
without_mask,gaussian,median,29.71895132109875,0.6530845452072005
without_mask,gaussian,none,23.345824137463694,0.3114729734945817
without_mask,gaussian,mean,31.080856292105423,0.7296679736253403
without_mask,gaussian,median,29.860649772766532,0.6623278417389439
without_mask,gaussian,none,23.371647808148765,0.34007468947061953
without_mask,gaussian,mean,30.89006718500618,0.7416014491149788
without_mask,gaussian,median,29.799221492748444,0.679726540016986
without_mask,gaussian,none,23.46999351158462,0.38983812183982786
without_mask,gaussian,mean,30.439918101577273,0.7679504136807663
without_mask,gaussian,median,29.50559206497251,0.70473072050151
without_mask,gaussian,none,23.68278647305177,0.38344052215463126
without_mask,gaussian,mean,30.700055915243688,0.7562328548708696
without_mask,gaussian,median,29.719859226310174,0.7022428019609651
without_mask,gaussian,none,23.40820127080383,0.3026108533914191
without_mask,gaussian,mean,30.995830500228973,0.7126622118933311
without_mask,gaussian,median,29.824194134601285,0.6475752338735394
without_mask,gaussian,none,23.60468599230113,0.37108396985771624
without_mask,gaussian,mean,30.967121438826098,0.7652051622861841
without_mask,gaussian,median,29.874791550120776,0.7027308319431024
without_mask,gaussian,none,23.937913238391037,0.5753858630398786
without_mask,gaussian,mean,25.9075961499249,0.7496804912151943
without_mask,gaussian,median,26.528510560677997,0.7208998070085998
without_mask,gaussian,none,23.377316269541417,0.42904884107334396
without_mask,gaussian,mean,30.6505902217566,0.7873532774925985
without_mask,gaussian,median,29.496909956857152,0.7341641074585362
without_mask,gaussian,none,23.539714304334098,0.461799378618085
without_mask,gaussian,mean,30.4543080455182,0.8003960416906507
without_mask,gaussian,median,29.493364638431512,0.7544800935432775
without_mask,gaussian,none,23.28767210170042,0.3693541584602074
without_mask,gaussian,mean,30.991208793670953,0.7656478801664539
without_mask,gaussian,median,29.700184238466413,0.7043242122332125
without_mask,gaussian,none,23.656173273713172,0.6146011717169152
without_mask,gaussian,mean,25.55881634176542,0.7073931806226254
