class,K,psnr,ssim
incorrect_mask,0.01,22.872144086199043,0.5898968711398576
incorrect_mask,0.1,23.331810620205147,0.6300458717990248
incorrect_mask,1.0,13.378345026668528,0.4505199637647724
incorrect_mask,0.001,17.5433898243801,0.4647613308743626
incorrect_mask,0.01,20.992730001853857,0.6054225165532925
incorrect_mask,0.1,21.66039029578573,0.6601937378673318
incorrect_mask,1.0,12.559619869932641,0.48336945585404356
incorrect_mask,0.001,24.24570880686531,0.6955291638672823
incorrect_mask,0.01,25.58209147060934,0.7443306861616052
incorrect_mask,0.1,23.178028289843525,0.7388054999110374
incorrect_mask,1.0,11.987211340043316,0.5186532291416127
incorrect_mask,0.001,19.122234831048395,0.4573678299429831
incorrect_mask,0.01,22.807270013922757,0.6162787914672346
incorrect_mask,0.1,22.768371528022293,0.6739994680490171
incorrect_mask,1.0,12.333171055398907,0.4937135778426768
incorrect_mask,0.001,17.40858121659311,0.41045937820054673
incorrect_mask,0.01,20.532366014178415,0.6058741870730241
incorrect_mask,0.1,21.133988494147168,0.6868535722234833
incorrect_mask,1.0,12.117798839719224,0.510132528259616
