class,method,compression_ratio,psnr,ssim
without_mask,wavelet_t70,3.3199594731509623,50.8445118915524,0.9954641199747085
without_mask,wavelet_t90,9.998372660699756,42.73810659437615,0.9701257263783615
without_mask,jpeg_q30,4.255932992089344,32.782649613915204,0.91894571466272
without_mask,jpeg_q70,2.4232093968029673,36.889299353975424,0.9653678191921706
without_mask,jpeg_q90,1.293757072802716,41.19726282958648,0.986336381675348
without_mask,wavelet_t70,3.3220350438470505,38.411687003782596,0.9689757554522784
without_mask,wavelet_t90,9.995322826639553,30.707944586472863,0.8521602411132981
without_mask,jpeg_q30,3.637702946482261,38.32598087798891,0.9624143980199279
without_mask,jpeg_q70,2.3635475678843525,43.5180671832046,0.9845655136767141
without_mask,jpeg_q90,1.3397187465396967,48.054539914993,0.9929697558758988
without_mask,wavelet_t70,3.3233265720081135,49.11731740715528,0.9945340798409109
without_mask,wavelet_t90,9.995831003101326,40.13558716427667,0.9671146743858553
without_mask,jpeg_q30,3.8397192161450717,38.19658438231817,0.95265244738966
without_mask,jpeg_q70,2.430211032950759,43.35640400027052,0.9811132705051709
without_mask,jpeg_q90,1.3356394343269915,47.71703339356256,0.9917148750572959
without_mask,wavelet_t70,3.3096761160864587,48.62312874399763,0.9932125771131383
without_mask,wavelet_t90,9.973520012174706,40.17173837101177,0.9635087996243207
without_mask,jpeg_q30,4.754549362372833,29.16314937771584,0.8543306733366981
without_mask,jpeg_q70,2.6004702194357368,32.51761669868611,0.9165118414576373
without_mask,jpeg_q90,1.3403077917356707,36.85851648984067,0.9622009937897674
without_mask,wavelet_t70,3.3305325924922076,39.15378116335169,0.9590663159200102
without_mask,wavelet_t90,9.997355842570935,28.964980452552773,0.8248214592276112
without_mask,jpeg_q30,3.9328431372549018,37.2725364538222,0.9569518279504896
without_mask,jpeg_q70,2.416202379159765,42.3307383520457,0.9831811197963729
without_mask,jpeg_q90,1.320875864339809,46.82020378143904,0.9928844448826983
without_mask,wavelet_t70,3.325631353710313,45.922466982287176,0.9898634165583982
without_mask,wavelet_t90,9.984156002437539,36.62941800866177,0.9444060063437559
without_mask,jpeg_q30,3.9488498789346247,38.1528139038395,0.9508666215675694
without_mask,jpeg_q70,2.42599479360357,43.56515013149986,0.9815933795351137
without_mask,jpeg_q90,1.3463006913631204,47.90734279818301,0.9917842973690538
without_mask,wavelet_t70,3.320800608056752,48.962586798039105,0.9936957133144823
without_mask,wavelet_t90,9.995831003101326,40.71612602394062,0.9656344602925736
without_mask,jpeg_q30,3.8422863191320453,37.55008126489718,0.9518580548048838
without_mask,jpeg_q70,2.3834537097833226,42.72565527796922,0.9806871014744719
without_mask,jpeg_q90,1.3261485067129417,47.335965959813464,0.9920354018308243
without_mask,wavelet_t70,3.320127666041846,47.418529912629175,0.9915227946302556
without_mask,wavelet_t90,9.998372660699756,37.669825183178,0.9487877112331319
without_mask,jpeg_q30,3.9098565190268246,38.3062803284168,0.953159001758773
without_mask,jpeg_q70,2.4358725223474544,43.81152130587936,0.9824244041998718
without_mask,jpeg_q90,1.3491550963297816,48.0943549185697,0.9918808882599923
without_mask,wavelet_t70,3.3086178752334954,49.131562455538315,0.9939028335016568
without_mask,wavelet_t90,9.965431598155,41.123190743949884,0.9670586782008966
without_mask,jpeg_q30,3.890452876376989,38.429818173215125,0.9576573257353219
without_mask,jpeg_q70,2.4464113911872234,43.485761925555295,0.9819232936514685
without_mask,jpeg_q90,1.3353639323600461,47.83862925203877,0.9916515652499377
without_mask,wavelet_t70,3.3082838344915784,49.9889177348315,0.995072071602873
without_mask,wavelet_t90,9.989736293887505,40.2516753877478,0.9686973928340064
